condition_concept_id,concept_name
443729,"Peripheral circulatory disorder associated with type 2 diabetes mellitus"
40483287,"Disorder of kidney and/or ureter"
42872402,"Coronary arteriosclerosis in native artery"
437851,"Open angle with borderline intraocular pressure"
442793,"Diabetic complication"
4263345,"Lattice corneal dystrophy"
4101600,"Hemophilia carrier"
375281,"Acute suppurative otitis media without spontaneous rupture of ear drum"
4022071,Convalescence
433736,Obesity
4095755,"Malignant tumor of trigone of urinary bladder"
439007,"REM sleep behavior disorder"
4242416,"Cutis laxa"
381301,"Chronic serous otitis media"
40481919,"Coronary atherosclerosis"
440350,"Malignant lymphoma - lymphocytic, intermediate differentiation"
4085075,"At risk - finding"
441579,"Acute myocardial infarction of inferoposterior wall"
436785,"Spinal stenosis in cervical region"
4111850,"Embolism and/or thrombosis of the common iliac artery"
4305080,"Abnormal breathing"
377252,"Neurofibromatosis, type 1"
438878,"Liver function tests abnormal"
43021821,"Coronary arteriosclerosis in native artery of transplanted heart"
442425,"Lumbar post-laminectomy syndrome"
4014526,"Sternoclavicular sprain"
40482801,"Type II diabetes mellitus uncontrolled"
317893,"Paroxysmal supraventricular tachycardia"
40481547,"Dependence on ventilator"
444406,"Acute subendocardial infarction"
4296205,"Second degree burn"
376065,"Neurologic disorder associated with type 2 diabetes mellitus"
441872,"Supraventricular premature beats"
441803,"Lymphosarcoma of lymph nodes of axilla and upper limb"
433565,"Juvenile osteochondrosis of spine"
4263370,"R.I.N.D. syndrome"
439981,"Wound dehiscence"
438438,"Acute myocardial infarction of anterolateral wall"
319034,"Hypertensive heart disease without congestive heart failure"
377298,"Chronic otitis externa"
372892,"Metabolic encephalopathy"
437966,"Calcium deposits in tendon"
4115044,"Acute infective exacerbation of chronic obstructive airways disease"
438398,Leukocytosis
40480603,"Acute systolic heart failure"
435753,"Malignant lymphoma of intrathoracic lymph nodes"
44782549,"Disorder of vertebral column"
4027396,"Peripheral neuritis"
26459,"Acute esophagitis"
80189,"Displacement of lumbar intervertebral disc without myelopathy"
135777,"Neoplasm of uncertain behavior of skin"
72990,"Localized osteoarthrosis uncertain if primary OR secondary"
73561,"Loose body in joint of shoulder region"
74729,"Ganglion and cyst of synovium, tendon and bursa"
139753,"Primary malignant neoplasm of parathyroid gland"
74725,"Displacement of cervical intervertebral disc without myelopathy"
24609,Hypoglycemia
80496,"Schmorl's nodes"
73840,"Localized, primary osteoarthritis of the shoulder region"
134115,"Photodermatitis due to sun"
78508,"Arthralgia of the ankle and/or foot"
77630,"Disorder of shoulder"
81660,"Cervicocranial syndrome"
133285,"Dermatitis factitia"
26378,Hyperpituitarism
77961,"Disseminated idiopathic skeletal hyperostosis"
81942,"Enthesopathy of ankle AND/OR tarsus"
138825,"Actinic keratosis"
72748,"Strain of rotator cuff capsule"
139099,"Ingrowing nail"
79106,"Arthralgia of the pelvic region and thigh"
256439,"Allergic rhinitis due to pollen"
432571,"Malignant lymphoma"
436677,"Adjustment disorder"
438530,"Ossification of posterior longitudinal ligament in cervical region"
375415,"Injury of head"
436003,"Persistent postoperative fistula"
434376,"Acute myocardial infarction of anterior wall"
376094,"Arteriosclerotic dementia with delirium"
435796,Dehydration
433577,"Hammer toe"
318712,"Peripheral circulatory disorder associated with type 1 diabetes mellitus"
436659,"Iron deficiency anemia"
435141,"Hemorrhage AND/OR hematoma complicating procedure"
318521,"Displacement of thoracic intervertebral disc without myelopathy"
4324765,"Arthropathy of knee joint"
4117393,"Knee joint ankylosis"
444132,"Injury of knee"
140821,Spasm
194175,"Left upper quadrant pain"
196733,"Urethral syndrome"
72993,"Localized, primary osteoarthritis"
73564,"Full thickness rotator cuff tear"
77644,"Adhesive capsulitis of shoulder"
72404,"Joint stiffness"
141941,"Cervical spondylosis without myelopathy"
75344,"Intervertebral disc disorder"
261880,Atelectasis
198402,"Neoplasm of uncertain behavior of kidney"
31057,"Disorder of pharynx"
201807,"Burkitt's tumor of intra-abdominal lymph nodes"
140641,"Verruca vulgaris"
78237,"Bicipital tenosynovitis"
137426,"Open wound of forearm without complication"
136949,"Refractory anemia with excess blasts"
80809,"Rheumatoid arthritis"
193998,"Neoplasm of uncertain behavior of digestive and respiratory systems"
196523,Diarrhea
75911,"Acquired hallux valgus"
201353,"Irradiation cystitis"
197672,"Urinary incontinence"
72415,"Synovial plica"
137829,"Aplastic anemia"
195083,"Left lower quadrant pain"
31610,"Disorder of esophagus"
81097,"Felty's syndrome"
141932,"Senile hyperkeratosis"
81112,"Arthralgia of the lower leg"
80242,"Current tear of medial cartilage AND/OR meniscus of knee"
74458,"Enthesopathy of knee"
201257,"Disorder of endocrine ovary"
312922,"Coronary bypass graft finding"
313878,"Respiratory symptom"
198082,"Overlapping malignant neoplasm of body of uterus"
197508,"Malignant tumor of urinary bladder"
192670,"Portal pyemia"
313459,"Sleep apnea"
194692,"Cirrhosis - non-alcoholic"
257011,"Acute upper respiratory infection"
195632,"Rupture of quadriceps tendon"
255304,"Lung disease with systemic sclerosis"
257004,"Acute exacerbation of chronic obstructive airways disease"
443767,"Diabetic oculopathy"
439524,"Achilles bursitis"
438557,"Abnormal glucose level"
441523,"Immunoproliferative neoplasm"
40490984,"Tenderness of left upper quadrant of abdomen"
442775,"Degeneration of thoracic intervertebral disc"
439405,"Walking disability"
442752,"Muscle pain"
4117722,"Villonodular synovitis of wrist"
4319325,"Acquired deformity of trunk"
4219481,"Degenerative joint disease of ankle AND/OR foot"
440129,"Hypertrophy of nasal turbinates"
4017388,"Closed dislocation lumbar spine"
81151,"Sprain of ankle"
135984,"Burn involving 20-29 percent of body surface, with 20-29 percent of body surface with full thickness burn"
138841,"Disorder of sacrum"
79116,"Disorder of tendon of shoulder region"
78235,"Disorder of coccyx"
77639,"Diffuse cervicobrachial syndrome"
198846,"Enthesopathy of hip region"
77074,"Joint pain"
135333,"Pressure ulcer"
78497,"Cellulitis and abscess of toe"
76836,"Sprain of knee and leg"
80802,"Localized, secondary osteoarthritis"
73574,"Nonunion of fracture"
140190,"Disorder of back"
72705,"Pauciarticular juvenile rheumatoid arthritis"
72405,"Degenerative joint disease of shoulder region"
73843,"Synovial cyst of popliteal space"
75347,"Spinal enthesopathy"
81380,"Cervical syndrome"
140214,Eruption
132706,"Disorder of nail"
138545,"Progressive infantile idiopathic scoliosis"
135033,"Hair and hair follicle diseases"
80816,"Degeneration of intervertebral disc"
75099,"Coccyx sprain"
140065,"Pure red cell aplasia"
435207,"Nodular lymphoma of lymph nodes of head, face and neck"
437127,"Closed traumatic dislocation acromioclavicular joint"
439303,"Horseshoe retinal tear without detachment"
437359,"Osteochondritis dissecans"
435262,"Primary open angle glaucoma"
432890,"Retinal microaneurysm"
443754,"Lyell's toxic epidermal necrolysis, subepidermal type"
434374,Anisocoria
443527,"Abdominal compartment syndrome"
443734,"Ketoacidosis in type 2 diabetes mellitus"
374023,"Epilepsia partialis continua"
4035441,"Osteoarthritis of wrist"
437758,"Dependence on enabling machine or device"
380094,"Carpal tunnel syndrome"
432739,"Red blood cell disorder"
434782,"Closed fracture of tibia AND fibula"
372604,"Movement disorder"
434119,Hidradenitis
443732,"Disorder due to type 2 diabetes mellitus"
441258,"Anemia in neoplastic disease"
40484648,"Type 1 diabetes mellitus uncontrolled"
376965,"Hypertensive retinopathy"
377091,Seizure
4117883,"Wrist joint effusion"
432394,"Chondrocalcinosis due to pyrophosphate crystals, of multiple sites"
4333227,"Acute pain due to injury"
77365,"Disuse osteoporosis"
29735,"Candidiasis of mouth"
77670,"Chest pain"
312950,"IgE-mediated allergic asthma"
257581,"Exacerbation of asthma"
201069,"Peptic ulcer without hemorrhage, without perforation AND without obstruction"
201072,"Benign prostatic hypertrophy without outflow obstruction"
193020,"Incomplete emptying of bladder"
4176898,"Complication of urinary catheter"
4232302,"Catarrhal bronchitis"
4012368,"Increased frequency of urination"
42873170,"Dependence on supplemental oxygen"
4229909,"Disorder of the nose"
4331953,"Chronic pain due to injury"
4094911,"Pregnancy test equivocal"
4115367,"Wrist joint pain"
375239,"Degenerative brain disorder"
321052,"Peripheral vascular disease"
433473,"Steroid-induced glaucoma glaucomatous stage"
434033,Chorioretinitis
372887,"Disorder of brain"
376422,"Mucopurulent conjunctivitis"
432626,"Glaucoma associated with vascular disorder"
432499,"Mechanical complication due to coronary bypass graft"
432730,"Difficulty speaking"
315831,"Chronic pulmonary heart disease"
317309,"Peripheral arterial occlusive disease"
314665,"Atrial flutter"
260123,"Acute sinusitis"
313792,"Paroxysmal tachycardia"
256448,"Chronic asthmatic bronchitis"
78234,"Hand joint pain"
318169,"Varicose veins of lower extremity"
444367,"Cholelithiasis without obstruction"
4104132,"Vomit contains feces"
443593,"Ulcer of thigh"
434547,"Complication of surgical procedure"
4116485,"Skin ulcer of calf"
40492322,"Infection due to Streptococcus group D"
4201387,"Tracheostomy present"
439693,"True posterior myocardial infarction"
320536,"Electrocardiogram abnormal"
436096,"Chronic pain"
321109,"Congenital anomaly of coronary artery"
432738,"Chronic fatigue syndrome"
74114,"Cellulitis and abscess of foot excluding toe"
138826,"Acne varioliformis"
312327,"Acute myocardial infarction"
136779,"Disorder of forearm"
258780,"Emphysematous bronchitis"
195906,"Disorder of lumbar spine"
256449,Bronchiectasis
194286,"Malignant neoplasm of corpus uteri, excluding isthmus"
4188191,"Disorder of skin pigmentation"
4288310,"Carotid artery obstruction"
443537,"Deep venous thrombosis of lower extremity"
440853,"Closed fracture of surgical neck of humerus"
441427,"Open fracture of neck of metacarpal bone"
381295,"Age-related cataract"
435524,"Sleep disorder"
442063,"Walking difficulty due to lower leg"
443608,"Bilateral sensory hearing loss"
443606,"Bilateral neural hearing loss"
439030,"Degenerative disorder of sclera"
442623,"Abrasion and/or friction burn of scalp without infection"
73341,"Closed fracture of head of radius"
76194,"Osteoarthrosis involving multiple sites but not designated as generalized"
312998,"Pain in thoracic spine"
257907,"Disorder of lung"
136580,"Dehiscence of surgical wound"
135215,"Hashimoto thyroiditis"
137519,"Thyrotoxicosis from ectopic thyroid nodule with crisis"
315832,"Angina decubitus"
321315,"Trifascicular block"
435940,"Closed fracture of shaft of humerus"
432295,"Pernicious anemia"
443776,"Brachial radiculitis"
381290,"Ocular hypertension"
315296,"Preinfarction syndrome"
441589,Endocarditis
435723,"Wound seroma"
436070,"Vitamin D deficiency"
442765,"Open fracture of trapezium of wrist"
440851,"Open fracture of forearm"
74606,"Benign neoplasm of bone"
196151,"Functional disorder of intestine"
197911,"Hernia of anterior abdominal wall without obstruction AND without gangrene"
197490,"Acute hepatitis E"
192242,"Acute hepatitis C"
194394,"Hernia of anterior abdominal wall with gangrene"
76508,"Infective myositis"
312437,Dyspnea
30437,"Gastro-esophageal reflux disease with esophagitis"
135489,"Primary malignant neoplasm of male breast"
197917,"Disorder of biliary tract"
193431,"Benign tumor of digestive organ"
313324,"Cheyne-Stokes respiration"
201614,"Calculus of bile duct with cholecystitis"
375545,Cataract
381859,"Infective otitis externa"
377861,"Disorder of refraction AND/OR accommodation"
439301,"Partial circumpapillary choroid dystrophy"
375265,"Punctate keratitis"
436540,"Open fracture axis"
40479576,"Chronic diastolic heart failure"
438867,"Generalized aches and pains"
373972,"Histoplasmosis with retinitis"
4203836,"Thrombosis of subclavian vein"
30753,Esophagitis
77081,"Tibialis tendinitis"
75863,"Chronic interstitial cystitis"
77310,"Deep vein phlebitis and thrombophlebitis of the leg"
4102183,"Borderline glaucoma"
438077,"Invasive candidiasis"
434123,"Primary localized osteoarthrosis of pelvic region"
380394,"Idiopathic progressive polyneuropathy"
433768,"Glaucoma with increased episcleral venous pressure"
316211,"Acquired spondylolisthesis"
437553,"Hypersecretion glaucoma"
434030,"Phacogenic glaucoma"
436222,"Altered mental status"
443702,"Abnormal response to nerve stimulation"
40481920,"Periumbilical pain"
4028057,"Deep venous thrombosis of upper extremity"
81943,"Rupture of flexor tendons of hand AND/OR wrist"
133299,"Swelling of limb"
136982,"Trichiasis without entropion"
78228,"Joint derangement"
75512,"Carcinoma in situ of colon"
136198,"Cervical spondylosis with myelopathy"
81390,"Idiopathic osteoporosis"
74582,"Primary malignant neoplasm of rectum"
79127,"Congenital spondylolisthesis"
81250,"Carcinoma in situ of breast"
23988,"Hemolytic anemia due to glutathione metabolism disorder"
139900,Urticaria
199075,"Neurogenic bladder"
133711,"Overlapping malignant neoplasm of female breast"
315286,"Chronic ischemic heart disease"
193155,"Carcinoid tumor of large intestine"
257012,"Chronic sinusitis"
314658,Cardiomegaly
195562,Hemorrhoids
140803,"Idiopathic urticaria"
197500,"Primary malignant neoplasm of colon"
255566,"Acute tracheitis with obstruction"
201606,"Crohn's disease"
195306,Gastroduodenitis
74728,"Synovitis and tenosynovitis"
73241,"Anal and rectal polyp"
78472,"Microscopic hematuria"
26662,"Testicular hypofunction"
134898,"Non-toxic uninodular goiter"
198700,"Secondary malignant neoplasm of liver"
133013,"Congenital anomaly of spinal cord"
192357,"Paralytic ileus"
28974,"Candidiasis of the esophagus"
201817,"Benign neoplasm of female genital organ"
201527,"Neoplasm of uncertain behavior of prostate"
259043,"Emphysematous bleb of lung"
135473,Dermatophytosis
31317,Dysphagia
77030,"Disorder of breast"
138113,"Cyst of thyroid"
196444,"Angiodysplasia of intestine"
196442,"Chronic gastric ulcer with hemorrhage AND with perforation but without obstruction"
195851,"Gastric ulcer without hemorrhage, without perforation AND without obstruction"
199991,"Disorder of transplanted kidney"
314378,"Hypertensive heart disease with congestive heart failure"
261327,"Pleural empyema with no fistula"
319049,"Acute respiratory failure"
378087,"Secondary malignant neoplasm of brain and spinal cord"
374947,"Acute infection of pinna"
318736,Migraine
434005,"Morbid obesity"
435233,"Disorder of fatty acid metabolism"
437264,"Tobacco dependence syndrome"
372925,Cholesteatoma
4015842,"Viral hepatitis carrier"
442747,"Contact dermatitis due to food in contact with skin"
4092217,"Malignant neoplasm of middle lobe, bronchus or lung"
4094876,"Malignant neoplasm of lower lobe, bronchus or lung"
40481080,"Benign localized hyperplasia of prostate"
4100540,"Carcinoid bronchial adenoma"
4222781,"Inguinal hernia without obstruction AND without gangrene"
441946,"Calcific tendinitis of shoulder"
432289,"Drug-induced neutropenia"
4093960,"Carcinoma in situ of bronchus and lung"
4091467,"Malignant neoplasm of axillary tail of female breast"
438699,"Primary malignant neoplasm of rectosigmoid junction"
439751,"Secondary malignant neoplasm of intrathoracic lymph nodes"
380101,"Partial resolved traumatic cataract"
437246,"Vitamin B deficiency"
434303,"Benign neoplasm of rectum and anal canal"
435853,"Pulmonary alveolar proteinosis"
432868,Hemoglobinopathy
433774,"Orbital myositis"
316814,Hyperventilation
441266,"Thiamin deficiency"
379019,Conjunctivitis
435781,"Vitamin K deficiency"
436635,"Primary malignant neoplasm of sigmoid colon"
375791,"Uncomplicated senile dementia"
317376,Tachypnea
316993,"Tricuspid valve disorder"
316994,"Malignant hypertensive heart disease with congestive heart failure"
373503,"Transient cerebral ischemia"
4201717,"Ileostomy present"
441284,"Open-angle glaucoma"
443449,"Acute laryngitis with obstruction"
443344,"Barrett's esophagus"
45769438,"Status asthmaticus"
40492474,"Secondary malignant neoplasm of large intestine and rectum"
443713,"Anal Papanicolaou smear positive for malignant neoplasm"
440530,"Oropharyngeal dysphagia"
442555,"Breathing painful"
4196401,"Muscular ossification"
443601,"Chronic kidney disease stage 2"
4301471,"Disorder of the lower urinary tract"
40482638,"Arteriosclerosis of autologous vein coronary artery bypass graft"
437847,"Partial retinal artery occlusion"
4066371,"Cellulitis and abscess of lower leg"
441628,"Menopausal and postmenopausal disorders"
443698,"Abnormal anal Papanicolaou smear"
40479606,"Septic pulmonary embolism"
443629,"Generalized abdominal tenderness"
4094448,"Pregnancy test negative"
437390,Hypoxemia
376115,"Cystoid macular retinal degeneration"
435222,"Behavior problem of childhood and adolescence"
433753,"Alcohol abuse"
443391,"Malignant tumor of cecum"
4228800,"Non-healing surgical wound"
441062,"Acute duodenal ulcer with hemorrhage AND obstruction"
4103372,"Primary localized osteoarthrosis of multiple sites"
433390,"Immunosuppressant adverse reaction"
442019,"Complication of procedure"
380096,"Proliferative diabetic retinopathy"
434614,"Disorder of iron metabolism"
443580,"Systolic heart failure"
436539,"Closed fracture of patella"
443587,"Diastolic heart failure"
435810,"Capsular fibrosis"
433440,Dysthymia
436957,"Functional disorders of polymorphonuclear neutrophils"
432875,"Anemia due to chronic blood loss"
434613,"Generalized anxiety disorder"
44782719,"Chronic combined systolic and diastolic heart failure"
434300,"Neuroendocrine tumor"
4091464,"Malignant neoplasm of nipple and areola of female breast"
40480461,"Infarction of lung due to iatrogenic pulmonary embolism"
440417,"Pulmonary embolism"
440676,"Neoplasm of uncertain behavior of brain and spinal cord"
442256,"Disorder of bursa of shoulder region"
40479192,"Chronic systolic heart failure"
437798,"Primary malignant neoplasm of splenic flexure of colon"
436348,"Primary malignant neoplasm of anal canal"
381877,"Dysfunction of eustachian tube"
438979,"Primary malignant neoplasm of hepatic flexure of colon"
432933,"Aneurysm of artery of lower extremity"
378135,"Facial nerve disorder"
318522,"Schmorl's nodes of thoracic region"
437474,"Postoperative infection"
432870,"Thrombocytopenic disorder"
432883,"Recurrent major depressive episodes, moderate"
318445,"Post cardiac operation functional disturbance"
432585,"Blood coagulation disorder"
317890,"Mitral and aortic stenosis"
317000,"Kyphoscoliotic heart disease"
321483,"Respiratory complication"
320745,"Acute myocarditis associated with another disorder"
193793,"Aneurysm of visceral artery"
314962,"Raynaud's disease"
194406,"Urinary tract obstruction"
193437,"Neoplasm of uncertain behavior of female genital organ"
200687,"Renal disorder associated with type 1 diabetes mellitus"
197921,"Renal osteodystrophy"
260125,"Acute bronchiolitis"
200970,"Carcinoma in situ of prostate"
141666,"Acute osteomyelitis of lower leg"
195482,"Primary malignant neoplasm of intestinal tract"
133729,Hyperparathyroidism
81665,"Traumatic spondylopathy"
25780,"Pituitary dwarfism"
78518,"Finding of shoulder joint"
73819,"Pain of breast"
78097,"Secondary malignant neoplasm of bone"
136496,"Cellulitis and abscess of face"
437233,"Multiple myeloma"
443239,"Precerebral arterial occlusion"
442426,"Thoracic post-laminectomy syndrome"
4317685,"Neoplasm of uncertain behavior of respiratory tract"
432838,"Primary malignant neoplasm of cardia of stomach"
436073,"Psychotic disorder"
40480555,"Deep venous thrombosis of peroneal vein"
4015841,"Cholera carrier"
443612,"Chronic kidney disease stage 4"
441655,"Disorder of sweat gland"
441415,"Electromyogram abnormal"
193522,"Acute prostatitis"
192606,Paraplegia
140364,"Disorder of thyrocalcitonin secretion"
80217,"Anal finding"
76498,"Arthropathy associated with bacterial disease"
315273,"Mitral valve stenosis"
254061,"Pleural effusion"
133727,"Thyrotoxicosis without goiter OR other cause"
315288,"Dissecting aneurysm of artery"
199752,"Secondary malignant neoplasm of ovary"
80767,"Breast lump"
252280,"Neoplasm of respiratory tract"
314867,"Histoplasma capsulatum with pericarditis"
200051,"Primary malignant neoplasm of ovary"
261782,"Herpetic ulceration of vulva"
198400,"Hemangioma of skin and subcutaneous tissue"
197034,"Intussusception of intestine"
192956,Cholecystitis
79072,"Inflammatory disorder of breast"
134718,Hirsutism
138994,"Myelodysplastic syndrome"
80045,"Primary malignant neoplasm of anus"
73754,"Restless legs"
74130,"Thoracic spondylosis without myelopathy"
201633,"Cystitis cystica"
196726,"Gallbladder calculus with acute cholecystitis and no obstruction"
257683,"Posterior rhinorrhea"
444219,"Osteitis deformans without bone tumor"
438090,"Overlapping malignant neoplasm of rectum, anus and anal canal"
4311159,"Midline cystocele"
443464,"Central pain syndrome"
4149840,"Nodular lymphoma"
440556,"Closed transcervical fracture of femur"
443610,"Prolapse of uterine cervical stump"
443709,"Atypical squamous cells of undetermined significance on anal Papanicolaou smear"
432672,"Fissure of nipple"
434630,"Sleep-wake schedule disorder"
434821,"Systemic inflammatory response syndrome"
434170,"Atypical squamous cells of undetermined significance on cervical Papanicolaou smear"
317002,"Low blood pressure"
132983,"Dermatographic urticaria"
77364,"Hypermobility of coccyx"
438112,"Neoplastic disease"
4181251,"Finding of wrist joint"
196165,"Cervical intraepithelial neoplasia grade 2"
79109,"Climacteric arthritis"
81382,"Pigmented villonodular synovitis"
75010,"Fibroadenosis of breast"
140173,"Telogen effluvium"
141673,"Aseptic necrosis of head of humerus"
195313,"Urethral abscess"
137057,Paronychia
436375,Hypovolemia
372315,"Anterior subcapsular polar cataract"
444375,"Contact dermatitis due to plants, except food"
437663,Fever
436336,"Herpes zoster with nervous system complication"
320741,Thrombophlebitis
434459,"Ganglion of tendon sheath"
132841,"Malignant lymphoma of lymph nodes of multiple sites"
197253,"Hemolytic uremic syndrome"
138283,"Closed dislocation of sacrum"
73090,"Contusion of foot"
314147,"Anomalies of great veins"
4103641,"Amputated at ankle"
440067,"Moderate bipolar I disorder, single manic episode"
4065123,"O/E - multiple joint abnormal"
4001336,"Concussion injury of brain"
4236905,"Thrombosis of arteries of lower extremity"
442120,"Injection site extravasation"
4313767,"Chronic peripheral venous hypertension"
437943,"Pulp abscess of finger"
4088290,"Absence of breast"
40481816,"Infection by methicillin sensitive Staphylococcus aureus"
440198,"Acquired clubhand"
4119158,"Neutropenic disorder"
40480077,"Periprosthetic osteolysis"
315295,"Congestive rheumatic heart failure"
139757,"Malignant melanoma of skin of lower limb"
75095,"Closed fracture of ankle"
132797,Sepsis
136950,"Myelodysplastic syndrome with isolated del(5q)"
79864,"Hematuria syndrome"
78162,"Peripheral vertigo"
374888,"Dementia associated with another disease"
432282,"Sideroblastic anemia"
436430,"Nontraumatic extradural hemorrhage"
439697,"Hypertensive renal disease with renal failure"
432798,"Mechanical complication of internal orthopedic device, implant AND/OR graft"
4308509,"Impaired fasting glycaemia"
433752,"Impulse control disorder"
319016,"Retinal lattice degeneration"
441422,"Closed fracture of humerus"
441698,"Multiple open fractures of cervical vertebrae"
433329,"Closed fracture of second cervical vertebra"
436976,"Posterior subcapsular polar cataract"
436230,"Blood chemistry abnormal"
317305,"Stricture of artery"
40483794,"Degenerative joint disease of pelvis"
